Region,Market,Maize..min.price.,Maize..max.price.,Latitude,Longitude
Katavi,Mpanda,25000,30000,-6.34295,31.07299
Njombe,Njombe,38000,42000,-9.33805,34.76949
Manyara,Babati,42000,48000,-4.21006,35.74915
Mwanza,Mwanza,52000,65000,-2.51969,32.90144
Iringa,Iringa,32000,35000,-7.78001,35.69671
Mara,Musoma,60000,65000,-1.49982,33.8083
Mbeya,Mbeya,36000,36000,-8.90994,33.45517
Morogoro,Morogoro,39062,39843,-6.82771,37.66542
Mtwara,Mtwara,40000,40000,-10.28009,40.18191
Tabora,Tabora,34000,36000,-5.01972,32.80767
Tanga,Tanga,41666,46296,-5.07426,39.09993
Ruvuma,Songea,27000,30000,-10.67873,35.64836
Shinyanga,Shinyanga,40000,42000,-3.67226,33.43069
Sumbawanga,Rukwa,24000,28000,-8.01818,31.51462
Arusha,Arusha,46000,47000,-3.36968,36.68808
Dar es Salaam,Ilala,45000,46000,-6.82941,39.26289
Dar es Salaam,Temeke,45000,46000,-6.85097,39.25672
Dodoma,Majengo,46000,51000,-6.17971,35.74109
Dodoma,Kibaigwa,35000,38000,-6.0811,36.64645
Kagera,Bukoba,50000,55000,-1.3314,31.81293
Kigoma,Kigoma,42000,44000,-4.89697,29.65987
Katavi,Mpanda,25000,30000,-6.34295,31.07299
Lindi,Lindi,60000,100000,-9.99892,39.71373
